#{"t_start": 1756654049.4811306, "env_id": "None"}
r,l,t
15811.424011,288,201.535189
14837.827217,288,202.126522
15235.466629,288,202.726028
11948.697811,288,203.316882
12781.042503,288,205.496434
15702.830048,288,206.027476
14893.322441,288,206.599811
13907.01123,288,208.555256
16128.65139,288,209.133089
11781.549843,288,209.670886
16592.398079,288,210.161128
15141.17466,288,212.152806
16055.589813,288,212.722434
16029.897041,288,213.287978
16839.585705,288,213.820436
15146.946007,288,215.697958
16075.156715,288,216.198237
14555.73764,288,216.731094
15908.130093,288,218.88516
12913.289619,288,219.423066
12485.345917,288,219.950669
15170.893387,288,220.507162
15307.919846,288,222.444804
16415.763168,288,223.005561
15670.30426,288,223.486506
15984.991608,288,225.374416
14578.102272,288,225.994245
13900.83091,288,226.541723
14000.522919,288,227.044458
15266.954018,288,228.96278
15619.946014,288,229.506442
14814.567772,288,230.05449
17743.963737,288,231.929491
14571.019508,288,232.428185
16235.002106,288,233.009683
12901.201057,288,233.594425
14913.717255,288,235.43307
17091.317505,288,235.934062
15493.147057,288,236.447767
14999.626587,288,238.364417
15543.121746,288,238.927473
17010.308075,288,239.451244
15079.845848,288,239.985001
14679.10508,288,241.861454
12764.033749,288,242.434258
15475.599632,288,242.9643
14799.821701,288,243.517274
17231.033066,288,245.350895
15444.84182,288,245.914892
16316.334881,288,246.447462
15572.704353,288,248.41588
14928.599594,288,248.946765
15995.662815,288,249.508431
15904.403183,288,250.033216
13308.539803,288,251.887279
15608.176117,288,252.388335
15289.296707,288,252.900122
16144.517197,288,254.706048
14225.496178,288,255.282632
16546.712379,288,255.778897
17322.109108,288,256.298211
17101.547554,288,258.082735
15002.328728,288,258.667636
15950.409744,288,259.159787
13718.196106,288,260.946723
13904.903023,288,261.47034
16967.240093,288,262.036077
15909.478882,288,262.591602
16276.171417,288,264.473365
17221.906242,288,265.0048
15704.909615,288,265.499838
14962.113541,288,267.321389
13706.3302,288,267.915053
13928.972343,288,268.435279
17101.601036,288,269.000926
14936.197914,288,270.837518
16672.47226,288,271.397333
17331.926872,288,271.941875
15291.036583,288,272.441815
16905.984192,288,274.366144
17932.916603,288,274.945984
14450.237724,288,275.443447
14623.034279,288,277.159587
15810.76989,288,277.655121
14091.568779,288,278.188468
16699.262695,288,278.755367
15393.858025,288,280.644471
17386.13662,288,281.129803
14439.059052,288,281.609901
15483.464417,288,283.369925
16046.503021,288,283.947837
16331.207993,288,284.423767
16825.292122,288,284.893103
14777.908089,288,286.492691
17059.658932,288,286.97991
17157.569664,288,287.439809
16401.854492,288,289.083591
14868.794273,288,289.536128
16470.961945,288,289.98605
14053.189522,288,290.469481
15117.973877,288,292.10986
15101.121399,288,292.577331
14733.338966,288,293.029991
15364.235878,288,294.677452
16648.223938,288,295.130792
15862.270287,288,295.620592
15291.19799,288,296.078574
15670.651245,288,297.67568
14570.641945,288,298.128691
14384.801414,288,298.57919
15297.515617,288,299.100076
14810.117958,288,300.689132
15204.285431,288,301.163389
16088.012321,288,301.612228
16374.197334,288,303.173293
15762.05619,288,303.622044
15189.035767,288,304.100181
16574.736908,288,304.596618
17349.159821,288,306.185595
17854.367638,288,306.635634
15963.16201,288,307.086384
15049.415512,288,308.665706
15452.515701,288,309.148751
16860.910515,288,309.69153
14946.015518,288,310.197614
14298.921425,288,311.889577
15636.474304,288,312.384763
15784.155457,288,312.912089
